Pan,"'Adventure,Family,Fantasy'",'Joe Wright',"'Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara'",2015,111,34.96
Percy Jackson & the Olympians: The Lightning Thief,"'Adventure,Family,Fantasy'",'Chris Columbus',"'Logan Lerman, Kevin McKidd, Steve Coogan,Brandon T. Jackson'",2010,118,88.76
Percy Jackson: Sea of Monsters,"'Adventure,Family,Fantasy'",'Thor Freudenthal',"'Logan Lerman, Alexandra Daddario, Brandon T. Jackson, Nathan Fillion'",2013,106,68.56
Pete's Dragon,"'Adventure,Family,Fantasy'",'David Lowery',"'Bryce Dallas Howard, Robert Redford, Oakes Fegley,Oona Laurence'",2016,102,76.2
Stardust,"'Adventure,Family,Fantasy'",'Matthew Vaughn',"'Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen'",2007,127,38.35
The BFG,"'Adventure,Family,Fantasy'",'Steven Spielberg',"'Mark Rylance, Ruby Barnhill, Penelope Wilton,Jemaine Clement'",2016,117,55.47
The Golden Compass,"'Adventure,Family,Fantasy'",'Chris Weitz',"'Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker'",2007,113,70.08
The Hobbit: An Unexpected Journey,"'Adventure,Fantasy'",'Peter Jackson',"'Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis'",2012,169,303
The Hobbit: The Battle of the Five Armies,"'Adventure,Fantasy'",'Peter Jackson',"'Ian McKellen, Martin Freeman, Richard Armitage,Cate Blanchett'",2014,144,255.11
The Hobbit: The Desolation of Smaug,"'Adventure,Fantasy'",'Peter Jackson',"'Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott'",2013,161,258.36
Silent Hill,"'Adventure,Horror,Mystery'",'Christophe Gans',"'Radha Mitchell, Laurie Holden, Sean Bean,Deborah Kara Unger'",2006,125,46.98
Beyond the Gates,"'Adventure,Horror'",'Jackson Stewart',"'Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton'",2016,84,
The Green Inferno,"'Adventure,Horror'",'Eli Roth',"'Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton'",2013,100,7.19
Divergent,"'Adventure,Mystery,Sci-Fi'",'Neil Burger',"'Shailene Woodley, Theo James, Kate Winslet, Jai Courtney'",2014,139,150.83
Prometheus,"'Adventure,Mystery,Sci-Fi'",'Ridley Scott',"'Noomi Rapace, Logan Marshall-Green, Michael Fassbender, Charlize Theron'",2012,124,126.46
Insurgent,"'Adventure,Sci-Fi,Thriller'",'Robert Schwentke',"'Shailene Woodley, Ansel Elgort, Theo James,Kate Winslet'",2015,119,130
Sunshine,"'Adventure,Sci-Fi,Thriller'",'Danny Boyle',"'Cillian Murphy, Rose Byrne, Chris Evans, Michelle Yeoh'",2007,107,3.68
The Hunger Games,"'Adventure,Sci-Fi,Thriller'",'Gary Ross',"'Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth,Stanley Tucci'",2012,142,408
Beowulf,"'Animation,Action,Adventure'",'Robert Zemeckis',"'Ray Winstone, Crispin Glover, Angelina Jolie,Robin Wright'",2007,115,82.16
Big Hero 6,"'Animation,Action,Adventure'",'Don Hall',"'Ryan Potter, Scott Adsit, Jamie Chung,T.J. Miller'",2014,102,222.49
How to Train Your Dragon,"'Animation,Action,Adventure'",'Dean DeBlois',"'Jay Baruchel, Gerard Butler,Christopher Mintz-Plasse, Craig Ferguson'",2010,98,217.39
Kung Fu Panda,"'Animation,Action,Adventure'",'Mark Osborne',"'Jack Black, Ian McShane,Angelina Jolie, Dustin Hoffman'",2008,92,215.4
Minions,"'Animation,Action,Adventure'",'Kyle Balda',"'Sandra Bullock, Jon Hamm, Michael Keaton, Pierre Coffin'",2015,91,336.03
The Lego Movie,"'Animation,Action,Adventure'",'Phil Lord',"'Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett'",2014,100,257.76
Brave,"'Animation,Adventure,Comedy'",'Mark Andrews',"'Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters'",2012,93,237.28
Despicable Me,"'Animation,Adventure,Comedy'",'Pierre Coffin',"'Steve Carell, Jason Segel, Russell Brand, Julie Andrews'",2010,95,251.5
Fantastic Mr. Fox,"'Animation,Adventure,Comedy'",'Wes Anderson',"'George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman'",2009,87,21
Finding Dory,"'Animation,Adventure,Comedy'",'Andrew Stanton',"'Ellen DeGeneres, Albert Brooks,Ed O'Neill, Kaitlin Olson'",2016,97,486.29
Frozen,"'Animation,Adventure,Comedy'",'Chris Buck',"'Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad'",2013,102,400.74
Home,"'Animation,Adventure,Comedy'",'Tim Johnson',"'Jim Parsons, Rihanna, Steve Martin, Jennifer Lopez'",2015,94,177.34
Inside Out,"'Animation,Adventure,Comedy'",'Pete Docter',"'Amy Poehler, Bill Hader, Lewis Black, Mindy Kaling'",2015,95,356.45
Moana,"'Animation,Adventure,Comedy'",'Ron Clements',"'Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison'",2016,107,248.75
Monsters University,"'Animation,Adventure,Comedy'",'Dan Scanlon',"'Billy Crystal, John Goodman, Steve Buscemi, Helen Mirren'",2013,104,268.49
Rio,"'Animation,Adventure,Comedy'",'Carlos Saldanha',"'Jesse Eisenberg, Anne Hathaway, George Lopez,Karen Disher'",2011,96,143.62
Tangled,"'Animation,Adventure,Comedy'",'Nathan Greno',"'Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman'",2010,100,200.81
The Book of Life,"'Animation,Adventure,Comedy'",'Jorge R. Gutierrez',"'Diego Luna, Zoe Saldana, Channing Tatum, Ron Perlman'",2014,95,50.15
The Princess and the Frog,"'Animation,Adventure,Comedy'",'Ron Clements',"'Anika Noni Rose, Keith David, Oprah Winfrey, Bruno Campos'",2009,97,104.37
The Secret Life of Pets,"'Animation,Adventure,Comedy'",'Chris Renaud',"'Louis C.K., Eric Stonestreet, Kevin Hart, Lake Bell'",2016,87,368.31
Toy Story 3,"'Animation,Adventure,Comedy'",'Lee Unkrich',"'Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty'",2010,103,414.98
Up,"'Animation,Adventure,Comedy'",'Pete Docter',"'Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer'",2009,96,292.98
Kubo and the Two Strings,"'Animation,Adventure,Family'",'Travis Knight',"'Charlize Theron, Art Parkinson, Matthew McConaughey, Ralph Fiennes'",2016,101,48.02
WALL-E,"'Animation,Adventure,Family'",'Andrew Stanton',"'Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard'",2008,98,223.81
