Snowpiercer,"'Action,Adventure,Cult,International'",Bong Joon Ho,"'Chris Evans, Song Kang-ho, Ed Harris, John Hurt, Tilda Swinton, Jamie Bell'",2013,126,
Battlefield Earth,"'Action,Adventure,Cult,Sci-Fi,Fantasy'",Roger Christian,"'John Travolta, Barry Pepper, Forest Whitaker, Kim Coates, Sabine Karsenti, Richard Tyson, Kelly Preston, Michael MacRae, Shaun Austin-Olsen, Tim Post, Michael Byrne'",2000,118,
Poseidon,"'Action,Adventure,Drama'",Wolfgang Petersen,"'Josh Lucas, Kurt Russell, Jacinda Barrett, Richard Dreyfuss, Emmy Rossum'",2006,98,
Tears of the Sun,"'Action,Adventure,Drama'",Antoine Fuqua,"'Bruce Willis, Monica Bellucci, Cole Hauser, Eamonn Walker, Johnny Messner, Nick Chinlund, Charles Ingram'",2003,121,
Into the Wild,"'Action,Adventure,Drama,Independent'",Sean Penn,"'Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian Dierker, Catherine Keener, Vince Vaughn, Kristen Stewart, Hal Holbrook, Zach Galifianakis'",2007,148,
Black Sea,"'Action,Adventure,Drama,International'",Kevin MacDonald,"'Jude Law, Scoot McNairy, Ben Mendelsohn, Bobby Schofield, Tobias Menzies, Michael Smiley, Grigoriy Dobrygin, David Threlfall, Jodie Whittaker, Karl Davies'",2015,114,
Rush,"'Action,Adventure,Drama,International'",Ron Howard,"'Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie'",2013,123,
Silver Skates,"'Action,Adventure,Drama,International'",Michael Lockshin,"'Fedor Fedotov, Sonya Priss, Yury Borisov, Kirill Zaitsev, Aleksey Guskov, Severija Janusauskaite, Cathy Belton'",2020,138,
Super Me,"'Action,Adventure,Drama,International'",Zhang Chong,"'Darren Wang, Song Jia, Cao Bingkun, Wu Gang, Chin Shih-chieh, Wang Ziyi, Kevin Lee'",2021,104,
Twilight,"'Action,Adventure,Drama,Romance Movies'",Catherine Hardwicke,"'Kristen Stewart, Robert Pattinson, Billy Burke, Peter Facinelli, Elizabeth Reaser'",2008,122,
