Sweet & Sour,"'Comedy,International, Romance'",Lee Kae-byeok,"'Jang Ki-yong, Chae Soo-bin, Jung Soo-jung'",2021,,
The Titan,"'Drama,Sci-Fi,Fantasy,Thriller'",Lennart Ruff,"'Sam Worthington, Taylor Schilling, Agyness Deyn, Nathalie Emmanuel, Noah Jupe, Corey Johnson, Aleksandar Jovanovic, Diego Boneta, Tom Wilkinson'",2018,97,
High Flying Bird,"'Drama,Sport'",Steven Soderbergh,"'André Holland, Zazie Beetz, Bill Duke, Kyle MacLachlan, Melvin Gregg, Sonja Sohn, Zachary Quinto'",2019,91,
Lady Driver,"'Drama,Sport'",Shaun Paul Piccinino,"'Grace Van Dien, Sean Patrick Flanery, Christina Moore, Casper Van Dien, Amanda Detmer, John Ducey, Matthew Joel Kranyak, David Gridley'",2019,104,
Million Dollar Baby,"'Drama,Sport'",Clint Eastwood,"'Clint Eastwood, Hilary Swank, Morgan Freeman, Anthony Mackie, Jay Baruchel, Mike Colter, Lucia Rijker, Brían F. O'Byrne, Margo Martindale, Riki Lindhome'",2004,133,
An Ordinary Man,"'Drama,Thriller'",Brad Silberling,"'Ben Kingsley, Hera Hilmar, Peter Serafinowicz'",2017,91,
Awake,"'Drama,Thriller'",Mark Raso,"'Gina Rodriguez, Ariana Greenblatt, Frances Fisher, Jennifer Jason Leigh, Barry Pepper, Shamier Anderson, Finn Jones, Lucius Hoyos, Gil Bellows'",2021,97,
Mystic River,"'Drama,Thriller'",Clint Eastwood,"'Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne, Marcia Gay Harden, Laura Linney, Kevin Chapman, Tom Guiry, Emmy Rossum, Spencer Treat Clark'",2003,138,
Savages,"'Drama,Thriller'",Oliver Stone,"'Taylor Kitsch, Aaron Taylor-Johnson, Blake Lively, John Travolta, Benicio Del Toro, Salma Hayek, Demián Bichir, Sandra Echeverría, Emile Hirsch, Joaquín Cosío, Ali Wong'",2012,131,
Snowden,"'Drama,Thriller'",Oliver Stone,"'Joseph Gordon-Levitt, Shailene Woodley, Zachary Quinto, Melissa Leo, Tom Wilkinson, Timothy Olyphant, Nicolas Cage, Rhys Ifans, Joely Richardson, Scott Eastwood, Ben Schnetzer, Logan Marshall-Green'",2016,134,
State of Play,"'Drama,Thriller'",Kevin Macdonald,"'Russell Crowe, Ben Affleck, Rachel McAdams, Helen Mirren, Robin Wright, Jason Bateman, Jeff Daniels, Michael Berresse, Harry Lennix'",2009,127,
The American,"'Drama,Thriller'",Anton Corbijn,"'George Clooney, Violante Placido, Thekla Reuten, Paolo Bonacelli, Johan Leysen, Irina Björklund, Filippo Timi, Anna Foglietta, Björn Granath'",2010,105,
The Whole Truth,"'Drama,Thriller'",Courtney Hunt,"'Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso, Jim Belushi, Jim Klock, Ritchie Montgomery, Christopher Berry'",2016,93,
Training Day,"'Drama,Thriller'",Antoine Fuqua,"'Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes'",2001,,
Freedomland,"'Drama,Thriller,Independent,Cult'",Joe Roth,"'Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe'",2006,113,
Zoo,"'Family, Drama, Adventure'",Colin McIvor,"'Penelope Wilton, Toby Jones, Art Parkinson, Ian McElhinney, Amy Huberman, Damian O'Hare'",2017,97,
Death of Me,'Horror',Darren Lynn Bousman,"'Maggie Q, Luke Hemsworth, Alex Essoe, Ingkarat Jaraswongkosol, Kelly B. Jones, Caledonia Burr'",2020,94,
The Seventh Day,'Horror',Justin P. Lange,"'Guy Pearce, Vadhir Derbez, Stephen Lang, Brady Jenness, Chris Galust, Robin Bartlett, Heath Freeman, Keith David'",2021,87,
The Wind,'Horror',Emma Tammi,"'Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman, Miles Anderson, Dylan McTee'",2019,88,
The Forest,"'Horror,Independent'",Jason Zada,"'Natalie Dormer, Taylor Kinney, Yukiyoshi Ozawa, Eoin Macken, Stephanie Vogt, Rina Takasaki, Noriko Sakura, Yuho Yamashita'",2016,93,
The Old Ways,"'Horror,Independent'",Christopher Alender,"'Brigitte Kali Canales, Andrea Cortes, Julia Vera, Sal Lopez'",2020,90,
The Swarm,"'Horror,Independent,International'",Just Philippot,"'Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand'",2021,102,
Dark Light,"'Horror,Independent,Sci-Fi,Fantasy'",Padraig Reynolds,"'Jessica Madsen, Opal Littleton, Ed Brody, Kristina Clifford, Ben Sullivan, Gerald Tyler, Weston Meredith'",2019,90,
A Classic Horror Story,"'Horror,International'","Roberto De Feo, Paolo Strippoli","'Matilda Lutz, Francesco Russo, Peppino Mazzotta, Will Merrick, Yuliia Sobol'",2021,95,
The 8th Night,"'Horror,International,Thriller'",Kim Tae-hyung,"'Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum'",2021,116,
Winchester,"'Horror,Sci-Fi,Fantasy'","Michael Spierig, Peter Spierig","'Helen Mirren, Jason Clarke, Sarah Snook, Angus Sampson'",2018,100,
Insidious,"'Horror,Thriller'",James Wan,"'Patrick Wilson, Rose Byrne, Lin Shaye, Ty Simpkins, Barbara Hershey, Leigh Whannell, Angus Sampson, Andrew Astor, Joseph Bishara'",2010,103,
The Darkness,"'Horror,Thriller'",Greg McLean,"'Kevin Bacon, Radha Mitchell, David Mazouz, Lucy Fry, Matt Walsh, Jennifer Morrison, Parker Mack, Paul Reiser, Ming-Na Wen, Tara Lynne Barr'",2016,92,
The Strangers,"'Horror,Thriller'",Bryan Bertino,"'Liv Tyler, Scott Speedman, Gemma Ward, Kip Weeks, Laura Margolis, Glenn Howerton, Alex Fisher, Peter Clayton-Luce'",2008,85,
Layer Cake,"'Independent,International, Thriller'",Matthew Vaughn,"'Daniel Craig, Colm Meaney, Kenneth Cranham, Sienna Miller, Tom Hardy, Michael Gambon, George Harris, Jamie Foreman, Marcel Iures, Ben Whishaw, Tamer Hassan'",2004,105,
Until Midnight,"'International,Thriller'",Tariq Alkazim,"'Ahmad Khamis Ali, Chuka Ekweogwu, Heba Al Hamwi, Rik Aby, Merouane Ali, Khalid Al Suwaidi, Saeed Arjumand'",2019,77,
Domestic Disturbance,'Thriller',Harold Becker,"'John Travolta, Vince Vaughn, Teri Polo, Matt O'Leary, Ruben Santiago-Hudson, Susan Floyd, Angelica Page, Steve Buscemi, Chris Ellis'",2001,89,
Double Jeopardy,'Thriller',Bruce Beresford,"'Tommy Lee Jones, Ashley Judd, Bruce Greenwood, Annabeth Gish, Roma Maffia, Jay Brazeau, Michael Gaston, Daniel Lapaine'",1999,105,
Jacob's Ladder,'Thriller',David M. Rosenthal,"'Michael Ealy, Jesse Williams, Nicole Beharie, Guy Burnet, Joseph Sikora, Karla Souza, Ritchie Coster, Jon Eyez'",2019,90,
Jacob's Ladder,'Thriller',"
Adrian Lyne","'Tim Robbins, Elizabeth Pena, Danny Aiello, Matt Craven'",1990,113,
Lying and Stealing,'Thriller',Matt Aselton,"'Theo James, Emily Ratajkowski, Fred Melamed, Ebon Moss-Bachrach, Isiah Whitlock Jr., Evan Handler, Paul Jurewicz, John Gatins, Fernanda Andrade, Bob Stephenson'",2019,100,
Shutter Island,'Thriller',Martin Scorsese,"'Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams, Emily Mortimer, Patricia Clarkson, Jackie Earle Haley, Ted Levine, John Carroll Lynch, Elias Koteas'",2010,139,
Synchronic,'Thriller',"Justin Benson, Aaron Moorhead","'Anthony Mackie, Jamie Dornan, Katie Aselton, Ally Ioannides, Ramiz Monsef, Bill Oberst Jr.'",2020,102,
The Da Vinci Code,'Thriller',Ron Howard,"'Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno, Paul Bettany, Alfred Molina, Jürgen Prochnow, Jean-Yves Berteloot, Etienne Chicot, Jean-Pierre Marielle'",2006,149,
The Interpreter,'Thriller',Sydney Pollack,"'Nicole Kidman, Sean Penn, Catherine Keener, Jesper Christensen, Yvan Attal, Earl Cameron, George Harris, Michael Wright, Clyde Kusatsu, Eric Keenleyside, Hugo Speer'",2005,128,
The Vanished,'Thriller',Peter Facinelli,"'Thomas Jane, Anne Heche, Jason Patric, John D. Hickman, Peter Facinelli, Alex Haydon, Aleksei Archer, Kristopher Wente'",2020,115,
Welcome Home,'Thriller',George Ratliff,"'Aaron Paul, Emily Ratajkowski, Riccardo Scamarcio, Katy Louise Saunders, Alice Bellagamba'",2018,97,
The Game,"'Thriller,Cult'",David Fincher,"'Michael Douglas, Sean Penn, Deborah Kara Unger, James Rebhorn, Peter Donat, Carroll Baker, Anna Katarina, Armin Mueller-Stahl'",1997,129,
